Crop,temperature,Soil_Moisture,Area_in_hectares,Production_in_tons,Crop_Type,N,P,K,pH,rainfall,Yield_ton_per_hec
Cashewnut,36.0,54,720.0,165.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,719.0,192.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,719.0,208.0,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,717.0,208.5,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,683.5,197.9,kharif,120,40,20,5.46,654.34,1.287671233
Cashewnut,36.0,54,450.0,55.8,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,3.0,9.0,kharif,120,40,20,5.46,654.34,1.287671233
Black pepper,36.0,54,23.0,8.5,kharif,120,40,20,5.46,654.34,1.287671233
Banana,36.0,54,593.0,3425.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry ginger,36.0,54,352.0,1120.0,kharif,120,40,20,5.46,654.34,1.287671233
Sugarcane,36.0,54,73.33,889.2,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,1168.6,556.55,kharif,120,40,20,5.46,654.34,1.287671233
Arecanut,36.0,54,3105.0,5267.0,kharif,120,40,20,5.46,654.34,1.287671233
Sugarcane,36.0,54,268.0,2879.52,kharif,120,40,20,5.46,654.34,1.287671233
other oilseeds,36.0,54,89.3,46.5,kharif,120,40,20,5.46,654.34,1.287671233
Dry ginger,36.0,54,200.0,1800.0,kharif,120,40,20,5.46,654.34,1.287671233
Black pepper,36.0,54,413.1,20.18,kharif,120,40,20,5.46,654.34,1.287671233
Turmeric,36.0,54,10.0,60.0,kharif,120,40,20,5.46,654.34,1.287671233
Groundnut,36.0,54,15.5,7.6,kharif,120,40,20,5.46,654.34,1.287671233
Tapioca,36.0,54,22.5,220.0,kharif,120,40,20,5.46,654.34,1.287671233
Korra,36.0,54,2200.0,700.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,100.0,100.0,kharif,120,40,20,5.46,654.34,1.287671233
Korra,36.0,54,100.0,100.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,3700.0,5800.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,1071.0,327.0,kharif,120,40,20,5.46,654.34,1.287671233
Sesamum,36.0,54,10.0,2.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,3755.0,10146.0,kharif,120,40,20,5.46,654.34,1.287671233
Other Kharif pulses,36.0,54,3167.0,559.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,35.0,9.0,kharif,120,40,20,5.46,654.34,1.287671233
Maize,36.0,54,399.0,2148.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,1595.0,526.0,kharif,120,40,20,5.46,654.34,1.287671233
Maize,36.0,54,2667.0,7129.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,5.0,1.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,40.0,12.0,kharif,120,40,20,5.46,654.34,1.287671233
Arecanut,36.0,54,257.0,430.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,1925.0,581.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,1150.0,174.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,129.0,39.0,kharif,120,40,20,5.46,654.34,1.287671233
Onion,36.0,54,401.0,7192.0,kharif,120,40,20,5.46,654.34,1.287671233
Beans & Mutter(Vegetable),36.0,54,1.0,5.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,51.0,90.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,1420.0,299.0,kharif,120,40,20,5.46,654.34,1.287671233
Small millets,36.0,54,70.0,13.0,kharif,120,40,20,5.46,654.34,1.287671233
Cucumber,36.0,54,51.0,0.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,30.0,217.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,421.0,121.0,kharif,120,40,20,5.46,654.34,1.287671233
Soyabean,36.0,54,1131.0,691.0,kharif,120,40,20,5.46,654.34,1.287671233
Linseed,36.0,54,34.0,4.0,kharif,120,40,20,5.46,654.34,1.287671233
Wheat,36.0,54,393.0,88.0,kharif,120,40,20,5.46,654.34,1.287671233
Moong(Green Gram),36.0,54,1078.0,747.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,58.0,214.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,472.0,752.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,1754.0,5658.0,kharif,120,40,20,5.46,654.34,1.287671233
Linseed,36.0,54,15.0,4.0,kharif,120,40,20,5.46,654.34,1.287671233
Arecanut,36.0,54,217.0,150.0,kharif,120,40,20,5.46,654.34,1.287671233
Bajra,36.0,54,1000.0,3000.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,2000.0,4000.0,kharif,120,40,20,5.46,654.34,1.287671233
Safflower,36.0,54,113.0,44.0,kharif,120,40,20,5.46,654.34,1.287671233
Turmeric,36.0,54,4.0,40.0,kharif,120,40,20,5.46,654.34,1.287671233
Arhar/Tur,36.0,54,316.0,92.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,1122.0,2458.0,kharif,120,40,20,5.46,654.34,1.287671233
Coriander,36.0,54,4470.0,1797.0,kharif,120,40,20,5.46,654.34,1.287671233
Dry chillies,36.0,54,1968.0,7307.0,kharif,120,40,20,5.46,654.34,1.287671233
Ragi,36.0,54,1876.0,3343.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,13274.0,8296.0,kharif,120,40,20,5.46,654.34,1.287671233
Arecanut,36.0,54,409.0,182.0,kharif,120,40,20,5.46,654.34,1.287671233
Soyabean,36.0,54,1656.0,2676.0,kharif,120,40,20,5.46,654.34,1.287671233
Jowar,36.0,54,7907.0,3882.0,kharif,120,40,20,5.46,654.34,1.287671233
Wheat,36.0,54,75.0,100.0,kharif,120,40,20,5.46,654.34,1.287671233
Tobacco,36.0,54,140.0,226.0,kharif,120,40,20,5.46,654.34,1.287671233
Cowpea(Lobia),36.0,54,586.0,36.0,kharif,120,40,20,5.46,654.34,1.287671233
Linseed,36.0,54,7.0,3.0,kharif,120,40,20,5.46,654.34,1.287671233
Soyabean,36.0,54,919.0,1671.0,kharif,120,40,20,5.46,654.34,1.287671233
Castor seed,36.0,54,232.0,88.0,kharif,120,40,20,5.46,654.34,1.287671233
Sweet potato,36.0,54,7.0,67.0,kharif,120,40,20,5.46,654.34,1.287671233
Brinjal,36.0,54,407.0,8624.0,kharif,120,40,20,5.46,654.34,1.287671233
Horse-gram,36.0,54,2317.0,1353.0,kharif,120,40,20,5.46,654.34,1.287671233
